8,11,3
5000
2500
25,20
000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000
SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,IAW,000,000
GAN,GAN,GAN,PAS,PAS,GAN,PAS,GAN,SAW,000,000
GAN,WAS,GAN,GAN,GAN,WAS,GAN,GAN,SAW,000,000
GAN,GAN,GAN,GAN,PDE,GAN,VAN,GAN,SBW,000,000
GAN,GAN,PBN,GAN,GAN,GAN,GAN,GAN,SAW,000,000
GAN,GAN,GAN,GAN,PBN,GDS,PBN,GAN,SAW,000,000
INC
000,000,000,000,000,000,000,000,000,000,000
SAS,SAS,SAS,SAS,SAS,SBS,SAS,SAS,SAS,IAW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SBW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SAW,000
INC
GAN,GAN,GAN,GDS,GAN,GAN,GAN,GAN,GAN,GAN,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
