11,9,3
5000
2400
30,30
000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000
SAS,SAS,SAS,SAS,SAS,SAS,IAW,000,000
GDS,GAN,PAS,GAN,PAS,QAE,SAW,000,000
GAN,GAN,GAN,WAS,GAN,WAS,SAW,000,000
GDS,GAN,PCE,GAN,GAN,GAN,SBW,000,000
GBN,GAN,GAN,GAN,VAN,GAN,SAW,000,000
GAN,GAN,GAN,WAS,GAN,GAN,SAW,000,000
GAN,GAN,VAN,GAN,PCN,GAN,SAW,000,000
GDS,GAN,GAN,GAN,GAN,GAN,SAW,000,000
GDS,GAN,PBN,GAN,PBN,GAN,SAW,000,000
INC
000,000,000,000,000,000,000,000,000
SAS,SAS,SAS,SBS,SAS,SAS,SAS,IAW,000
000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,SBW,000
000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,SAW,000
INC
GAN,GAN,GAN,GAN,GAN,GAN,GDS,GAN,GAN
000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,GDS
000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,GAN
