8,11,3
5000
800
12,30
000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000
IAW,000,000,IBS,SAS,SAS,SAS,SAS,IAW,000,000
CBW,SAS,SBS,CAS,WAN,BAW,PAS,BAE,SAW,000,000
VBE,WAS,BAW,PAS,QAE,VCS,GAN,GDN,SAW,000,000
GAN,GFW,GDS,GAN,GAN,GAN,GAN,GAN,SBW,000,000
GAN,GAN,GAN,PCE,PDE,GAN,GAN,PBW,SAW,000,000
GAN,GAN,GAN,GAN,GAN,GAN,GAN,PBW,SAW,000,000
INC
000,000,000,000,000,000,000,000,000,000,000
SAS,SAS,SAS,SAS,SAS,SBS,SAS,SAS,SAS,IAW,000
000,GAN,WAS,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SBW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SAW,000
INC
VAN,GAN,GAN,WAS,GAN,GAN,GAN,GAN,GAN,GAN,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
