8,11,3
5000
1000
20,20
000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000
SAS,SAS,SAS,SAS,SAS,SAS,SAS,SAS,IAW,000,000
GAN,GAN,PBW,PBE,WAS,GAN,GAN,GAN,SAW,000,000
GAN,WAS,PAS,PAS,QAE,WAS,GAN,VAN,SAW,000,000
GAN,GAN,GAN,GAN,WAS,GAN,GAN,GAN,SBW,000,000
GAN,GAN,GAN,GAN,GAN,GAN,GAN,GAN,SAW,000,000
GAN,GAN,GAN,GAN,GAN,GAN,GAN,GAN,SAW,000,000
INC
000,000,000,000,000,000,000,000,000,000,000
SAS,SAS,SAS,SAS,SAS,SBS,SAS,SAS,SAS,IAW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SBW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SAW,000
000,000,000,000,000,000,000,000,000,SAW,000
INC
GAN,GAN,GAN,GDS,GAN,GAN,GAN,GAN,GAN,GAN,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
000,000,000,000,000,000,000,000,000,000,GAN
